module,source_url,source_sha256,downloaded,in_repo_since
LeanSvg/Fonts/NotoSansEthiopic.lean,"https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosansethiopic/NotoSansEthiopic%5Bwdth,wght%5D.ttf",0dbccc00b22d180ebd6a4bd8a733918a29e709fa6798023adc3e6cd40da65077,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansExtraCondensed.lean,https://raw.githubusercontent.com/linebender/resvg-test-suite/d8e064337faf01bc5a9579187a56dbdbe3eacc72/fonts/NotoSans-ExtraCondensed.ttf,9202021ad9e40edb215f91e2c3cf7c7f2fb80b141698222f6955b66d73d6ac11,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansGeorgian.lean,"https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosansgeorgian/NotoSansGeorgian%5Bwdth,wght%5D.ttf",dc591156f36842d38996c4a7a17fee9bb58e45da3e2cac7a31b7d33de700adb9,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansHebrew.lean,"https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosanshebrew/NotoSansHebrew%5Bwdth,wght%5D.ttf",7ef36a2c3593758cdb622e1bdef4f84523e92fbc3ccc667438dd80ff54c2de88,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansItalic.lean,https://raw.githubusercontent.com/linebender/resvg-test-suite/d8e064337faf01bc5a9579187a56dbdbe3eacc72/fonts/NotoSans-Italic.ttf,35600501daadd3e9030ee6ed8098fd3c7f31bfd898ca58da8edf793a3231c48b,2026-09-24,2026-09-20 58ba984
LeanSvg/Fonts/NotoSansKR.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosanskr/NotoSansKR%5Bwght%5D.ttf,194018e6b2b293a7964f037b25c0249ce1418bc9ab3c971060a03aa57861e252,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansLight.lean,https://raw.githubusercontent.com/linebender/resvg-test-suite/d8e064337faf01bc5a9579187a56dbdbe3eacc72/fonts/NotoSans-Light.ttf,539961bfcb5dd4257bfd62edfd754e5a9b303f6c535984c63d1d15e39e8f57a5,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansSC.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosanssc/NotoSansSC%5Bwght%5D.ttf,a3041811a78c361b1de50f953c805e0244951c21c5bd412f7232ef0d899af0da,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansThai.lean,"https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/notosansthai/NotoSansThai%5Bwdth,wght%5D.ttf",5a1c559bb539583c8a1fd99d1c5b9491e5e14478c9cd2bd0970d5c3096cc9ef8,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/NotoSansThin.lean,https://raw.githubusercontent.com/linebender/resvg-test-suite/d8e064337faf01bc5a9579187a56dbdbe3eacc72/fonts/NotoSans-Thin.ttf,7aa7005d6d306c572da543a1eb99e13b209ff9ac0989d6e952df2fcb3b1f5077,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/STIXTwoMath.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/stixtwomath/STIXTwoMath-Regular.ttf,562551b15b836e6e01d1b7350909baf3c8c8d83260c1190fbf4544333e6936de,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/STIXTwoText.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/stixtwotext/STIXTwoText%5Bwght%5D.ttf,7962b8b7811e6a896c9a91a0bccbb5241047770eb24d4997c5cb5fe21d5c0df2,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/STIXTwoTextItalic.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/stixtwotext/STIXTwoText-Italic%5Bwght%5D.ttf,88c0e2e316eaff56eddc9e51e4850317e2a1e490bbf758b2dec4793aedba9c74,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/Tinos.lean,https://raw.githubusercontent.com/googlefonts/tinos/3b4482a99b80ea5fc75f187b1be3120a3f5905b3/fonts/ttf/Tinos-Regular.ttf,60a0e8ef0c04dd5dd69ffe91025fa2ae5836cbd35600a82ba031977557e2cb61,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/TinosBold.lean,https://raw.githubusercontent.com/googlefonts/tinos/3b4482a99b80ea5fc75f187b1be3120a3f5905b3/fonts/ttf/Tinos-Bold.ttf,393269dbab8899f938db19783eca5eac92eb431f7ae0ab45b8349ca895f1a06b,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/TinosItalic.lean,https://raw.githubusercontent.com/googlefonts/tinos/3b4482a99b80ea5fc75f187b1be3120a3f5905b3/fonts/ttf/Tinos-Italic.ttf,5942266ed398b155d7dc23e36833e7ec6be988f2439bdbeb8ef1bede808eaa91,2026-09-24,2026-09-24 d02c2b2
